city,state,lat,lon,population,category
Town_00127,India,25.22123,88.07959,20434,small
Town_00128,India,20.56608,70.06829,90149,small
Town_00129,India,10.5284,83.51671,82109,small
Town_00130,India,14.93532,70.19627,864763,medium
Town_00131,India,28.80214,74.80672,80337,small
Town_00132,India,21.58359,79.28553,57659,small
Town_00133,India,29.09168,86.20073,30154,small
Town_00134,India,24.49189,77.7873,59900,small
Town_00135,India,25.08165,71.93651,83674,small
Town_00136,India,15.39125,87.82405,84174,small
Town_00137,India,15.99855,83.2378,81124,small
Town_00138,India,29.09717,97.30236,60851,small
Town_00139,India,34.89846,95.6195,16400505,large
Town_00140,India,10.10277,82.94525,55213,small
Town_00141,India,18.63833,95.03837,29779,small
Town_00142,India,23.99049,72.18135,67127,small
Town_00143,India,11.64664,92.1964,34768,small
Town_00144,India,27.34177,74.82582,83719,small
Town_00145,India,18.83721,72.69243,79082,small
Town_00146,India,19.14903,89.45189,69296,small
Town_00147,India,16.69215,92.78682,12350545,large
Town_00148,India,31.07555,71.54122,21536,small
Town_00149,India,32.79308,76.55007,511984,medium
Town_00150,India,18.72943,93.66417,15363066,large
Town_00151,India,28.78055,93.20053,154124,medium
Town_00152,India,30.95359,76.42588,52679,small
Town_00153,India,34.70356,80.8691,910741,medium
Town_00154,India,18.26711,96.20688,72434,small
Town_00155,India,33.11916,95.75063,30561,small
Town_00156,India,9.36059,89.6044,38162,small
Town_00157,India,25.72349,76.44315,5271859,large
Town_00158,India,12.69598,80.23857,368165,medium
Town_00159,India,28.32339,96.80074,787860,medium
Town_00160,India,14.56329,82.25387,35694,small
Town_00161,India,12.60164,72.76888,951261,medium
Town_00162,India,21.66958,74.49074,78977,small
Town_00163,India,19.75413,84.15967,283181,medium
Town_00164,India,17.40377,70.68728,370907,medium
Town_00165,India,30.25736,73.96318,14850654,large
Town_00166,India,18.52804,90.0023,383367,medium
Town_00167,India,17.30059,69.83076,477639,medium
Town_00168,India,11.46153,82.85017,48306,small
Town_00169,India,10.54645,94.45531,777161,medium
Town_00170,India,20.26111,96.14134,22858,small
Town_00171,India,11.49929,80.5434,82032,small
Town_00172,India,34.62773,82.44982,16708554,large
Town_00173,India,34.73663,75.32973,261877,medium
Town_00174,India,12.18188,96.67068,965489,medium
Town_00175,India,27.84772,87.09677,79942,small
Town_00176,India,10.33759,90.91742,5216173,large
Town_00177,India,14.39586,95.13764,59817,small
Town_00178,India,34.46696,86.48095,77334,small
Town_00179,India,27.211,71.30791,7432443,large
Town_00180,India,18.67225,74.5957,21371,small
Town_00181,India,22.7806,97.39303,431724,medium
Town_00182,India,25.72583,94.07133,50771,small
Town_00183,India,23.04256,68.86379,60291,small
Town_00184,India,9.52099,73.7264,75052,small
Town_00185,India,10.23003,74.7213,68525,small
Town_00186,India,14.23662,69.00587,540985,medium
Town_00187,India,17.9638,79.69257,10801625,large
Town_00188,India,28.32605,82.89391,310149,medium
Town_00189,India,16.57218,92.19013,332199,medium
Town_00190,India,15.2881,94.23535,753888,medium
Town_00191,India,21.63353,73.52574,537286,medium
Town_00192,India,33.03589,69.6643,71571,small
Town_00193,India,9.49486,68.69705,74445,small
Town_00194,India,9.42561,69.77399,846622,medium
Town_00195,India,32.29855,89.61535,41709,small
Town_00196,India,17.05418,73.47261,81291,small
Town_00197,India,8.87708,87.60068,492045,medium
Town_00198,India,35.08703,81.05184,182042,medium
Town_00199,India,15.69468,78.36827,36214,small
Town_00200,India,23.43105,90.38475,906074,medium
Town_00201,India,30.59327,92.24924,26456,small
Town_00202,India,27.39455,73.77362,78503,small
Town_00203,India,13.30822,78.74534,23969,small
Town_00204,India,25.37071,75.31638,73054,small
Town_00205,India,9.11786,69.0282,3080505,large
Town_00206,India,15.06794,90.04496,64442,small
Town_00207,India,17.98179,77.88164,25712,small
Town_00208,India,15.20974,89.14075,389019,medium
Town_00209,India,16.17866,89.28638,28563,small
Town_00210,India,8.66706,74.89905,81045,small
Town_00211,India,34.23254,79.40219,550822,medium
Town_00212,India,30.40701,71.91486,21141,small
Town_00213,India,30.07063,89.7854,39833,small
Town_00214,India,24.69949,77.67009,479436,medium
Town_00215,India,29.55541,85.57365,71338,small
Town_00216,India,28.70436,75.29557,2136277,large
Town_00217,India,21.24647,84.06619,547274,medium
Town_00218,India,32.29555,97.1408,188166,medium
Town_00219,India,13.72938,80.42128,78584,small
Town_00220,India,12.76278,71.92147,50793,small
Town_00221,India,28.56937,92.98612,35881,small
Town_00222,India,29.44314,76.67074,380668,medium
Town_00223,India,18.2567,89.77299,359448,medium
Town_00224,India,13.10775,74.94737,706371,medium
Town_00225,India,13.17688,69.91172,357896,medium
Town_00226,India,21.95142,74.82574,80806,small
Town_00227,India,35.25128,71.01881,50292,small
Town_00228,India,31.1153,94.97408,10854180,large
Town_00229,India,14.40455,69.48654,96440,small
Town_00230,India,13.33944,70.21594,43299,small
Town_00231,India,20.35063,75.66847,20830,small
Town_00232,India,10.90895,85.58634,48527,small
Town_00233,India,9.03,78.03049,9553483,large
Town_00234,India,9.05149,89.60074,21491,small
Town_00235,India,30.51791,80.06535,751180,medium
Town_00236,India,16.58538,74.00053,91833,small
Town_00237,India,21.29644,80.04102,92107,small
Town_00238,India,12.25018,83.75292,72136,small
Town_00239,India,27.12366,80.08877,422537,medium
Town_00240,India,19.49075,69.51514,66816,small
Town_00241,India,19.3872,68.53729,67681,small
Town_00242,India,25.72315,79.52657,20770,small
Town_00243,India,19.93952,72.61872,194883,medium
Town_00244,India,19.17099,94.04372,41305,small
Town_00245,India,11.57432,69.52501,945643,medium
Town_00246,India,33.01935,70.62642,68607,small
Town_00247,India,28.27435,73.06473,269675,medium
Town_00248,India,22.33187,95.30224,614336,medium
Town_00249,India,28.72278,91.36827,59533,small
Town_00250,India,11.48288,95.82073,83273,small
Town_00251,India,16.64946,85.92552,31310,small
Town_00252,India,32.86607,86.30012,41007,small
Town_00253,India,25.60892,93.26933,45704,small
Town_00254,India,30.80266,73.39748,519163,medium
Town_00255,India,33.8101,72.61613,256727,medium
Town_00256,India,14.79412,89.38404,25386,small
Town_00257,India,32.30622,92.85331,62493,small
Town_00258,India,11.2376,85.68583,60136,small
Town_00259,India,25.84827,77.09224,508118,medium
Town_00260,India,26.11817,81.18029,23063,small
Town_00261,India,8.09647,97.09106,78565,small
Town_00262,India,28.99804,91.00926,43536,small
Town_00263,India,30.28956,79.8101,13031782,large
Town_00264,India,19.84147,70.70554,86867,small
Town_00265,India,26.07013,69.19922,869109,medium
Town_00266,India,16.62746,89.25161,17908885,large
Town_00267,India,32.60886,87.256,23389,small
Town_00268,India,31.56943,97.38566,34363,small
Town_00269,India,13.32695,96.96098,41641,small
Town_00270,India,26.86868,89.27184,973501,medium
Town_00271,India,17.64968,90.3073,743334,medium
Town_00272,India,15.5623,92.06099,626613,medium
Town_00273,India,34.51901,82.16317,86323,small
Town_00274,India,14.52848,78.98187,523064,medium
Town_00275,India,12.43381,95.62391,69393,small
Town_00276,India,12.64041,91.15364,656501,medium
Town_00277,India,9.33572,93.31952,79380,small
Town_00278,India,23.26745,85.11129,33711,small
Town_00279,India,14.93087,83.80319,68688,small
Town_00280,India,15.28074,97.2197,67218,small
Town_00281,India,17.09779,70.40087,745266,medium
Town_00282,India,28.44885,69.4246,53246,small
Town_00283,India,16.52699,96.49574,60979,small
Town_00284,India,28.15857,90.04003,405105,medium
Town_00285,India,24.94143,80.75087,26262,small
Town_00286,India,11.63064,74.70416,22921,small
Town_00287,India,9.49581,84.73007,648498,medium
Town_00288,India,17.82167,74.61564,97213,small
Town_00289,India,11.67748,78.80392,40791,small
Town_00290,India,11.70559,95.62943,256566,medium
Town_00291,India,20.39846,69.87822,797798,medium
Town_00292,India,29.50929,79.85761,112054,medium
Town_00293,India,9.54359,92.21598,97951,small
Town_00294,India,25.75411,81.09075,84599,small
Town_00295,India,14.83367,94.65335,1846418,large
Town_00296,India,19.16469,75.01123,4520458,large
Town_00297,India,8.33963,84.25223,38647,small
Town_00298,India,19.3624,83.28861,74426,small
Town_00299,India,30.36797,73.15186,414851,medium
Town_00300,India,25.214,97.32481,82642,small
Town_00301,India,27.67346,68.18731,80983,small
Town_00302,India,10.21316,87.33817,210395,medium
Town_00303,India,15.18924,86.99858,886069,medium
Town_00304,India,33.4424,95.81409,155084,medium
Town_00305,India,15.31466,84.33674,88582,small
Town_00306,India,34.72702,76.7207,48442,small
Town_00307,India,10.34908,82.96914,347578,medium
Town_00308,India,31.14738,73.9819,442749,medium
Town_00309,India,13.27827,79.46686,69735,small
Town_00310,India,32.95813,86.60553,90301,small
Town_00311,India,20.91106,92.77148,23475,small
Town_00312,India,20.02339,89.37639,60337,small
Town_00313,India,29.70307,79.55111,94082,small
Town_00314,India,33.04672,72.26555,4579532,large
Town_00315,India,25.10415,72.77343,23766,small
Town_00316,India,8.84892,72.08286,25589,small
Town_00317,India,27.16771,89.73517,13193885,large
Town_00318,India,13.48109,96.15981,28643,small
Town_00319,India,32.19215,90.29529,70311,small
Town_00320,India,10.94569,74.06884,136099,medium
Town_00321,India,34.10442,94.87778,31464,small
Town_00322,India,30.68916,86.63033,204728,medium
Town_00323,India,11.64798,91.36304,58595,small
Town_00324,India,16.77632,80.50108,9613498,large
Town_00325,India,33.57768,69.42804,62051,small
Town_00326,India,29.15403,85.75925,57702,small
Town_00327,India,25.00259,68.91395,77206,small
Town_00328,India,22.26212,70.89984,26306,small
Town_00329,India,22.79171,74.38894,31913,small
Town_00330,India,23.79988,76.46974,88623,small
Town_00331,India,13.55597,90.48434,20571,small
Town_00332,India,17.5646,70.82283,44185,small
Town_00333,India,34.5968,85.48037,87520,small
Town_00334,India,15.16581,95.84416,325144,medium
Town_00335,India,33.80295,74.83006,767451,medium
Town_00336,India,29.08726,82.46361,93564,small
Town_00337,India,29.64066,86.524,520762,medium
Town_00338,India,33.53388,94.30933,75329,small
Town_00339,India,32.43234,68.74263,375980,medium
Town_00340,India,19.77167,84.07564,761383,medium
Town_00341,India,14.42333,81.59679,99344,small
Town_00342,India,25.77325,78.28032,262871,medium
Town_00343,India,31.86995,81.28404,62380,small
Town_00344,India,12.66264,80.94454,95912,small
Town_00345,India,14.35317,77.85459,51187,small
Town_00346,India,21.96184,75.89074,40262,small
Town_00347,India,27.89174,96.75564,99022,small
Town_00348,India,22.35992,72.74727,298467,medium
Town_00349,India,15.11392,96.17157,41574,small
Town_00350,India,34.46561,70.99832,255523,medium
Town_00351,India,29.85941,89.63213,45715,small
Town_00352,India,11.00517,94.88637,507205,medium
Town_00353,India,20.7577,68.37221,77216,small
Town_00354,India,27.06958,82.76435,80722,small
Town_00355,India,8.60823,75.5878,20723,small
Town_00356,India,28.37601,94.78611,95232,small
Town_00357,India,24.15424,87.09243,96514,small
Town_00358,India,31.44221,88.0481,79493,small
Town_00359,India,19.89454,75.66434,74995,small
Town_00360,India,14.66589,79.80389,40507,small
Town_00361,India,14.87668,80.49561,73653,small
Town_00362,India,22.25194,87.50254,62998,small
Town_00363,India,29.39993,79.4669,33943,small
Town_00364,India,9.049,84.02912,919768,medium
Town_00365,India,34.16147,73.89444,988311,medium
Town_00366,India,23.80041,83.96054,87133,small
Town_00367,India,8.44293,91.38072,459506,medium
Town_00368,India,19.28459,95.96519,817603,medium
Town_00369,India,13.05457,83.15687,66592,small
Town_00370,India,25.53314,75.4475,164491,medium
Town_00371,India,8.36598,80.34818,66153,small
Town_00372,India,23.95482,71.22313,519931,medium
Town_00373,India,33.84811,83.54876,940420,medium
Town_00374,India,34.42342,81.63244,914331,medium
Town_00375,India,9.89461,91.55261,773394,medium
Town_00376,India,23.45648,74.66661,66285,small
Town_00377,India,26.31604,92.50562,74170,small
Town_00378,India,20.87277,76.6831,36405,small
Town_00379,India,29.44578,81.84735,50206,small
Town_00380,India,15.35417,79.09638,546802,medium
Town_00381,India,26.66751,82.20629,56858,small
Town_00382,India,17.84438,87.30488,608474,medium
Town_00383,India,19.78357,86.80039,67504,small
Town_00384,India,12.20071,76.94348,189422,medium
Town_00385,India,30.76725,94.72128,38402,small
Town_00386,India,22.59282,78.18193,21504,small
Town_00387,India,13.76811,70.12399,737744,medium
Town_00388,India,10.79158,72.21061,914015,medium
Town_00389,India,20.42889,91.15411,522035,medium
Town_00390,India,29.77104,72.95343,99739,small
Town_00391,India,34.87229,70.66697,91893,small
Town_00392,India,29.67203,92.74469,826445,medium
Town_00393,India,13.86027,70.31914,35332,small
Town_00394,India,23.26425,75.80258,246106,medium
Town_00395,India,21.01415,84.43749,38929,small
Town_00396,India,27.26159,75.27372,728727,medium
Town_00397,India,31.72914,68.1949,81336,small
Town_00398,India,27.13685,82.67939,588386,medium
Town_00399,India,18.31134,80.3551,29882,small
Town_00400,India,12.96427,78.63107,22694,small
Town_00401,India,24.76607,88.13635,63313,small
Town_00402,India,30.23649,70.77228,38938,small
Town_00403,India,8.93217,89.18643,64381,small
Town_00404,India,10.5978,87.44119,916341,medium
Town_00405,India,22.45228,90.73194,556329,medium
Town_00406,India,17.40377,75.42137,10702205,large
Town_00407,India,16.05428,92.41816,86027,small
Town_00408,India,35.06789,93.75246,313418,medium
Town_00409,India,26.00038,91.36256,432497,medium
Town_00410,India,27.61248,71.76334,31478,small
Town_00411,India,29.56593,69.18151,73219,small
Town_00412,India,22.99853,69.46614,106512,medium
Town_00413,India,9.27591,92.24786,27883,small
Town_00414,India,29.69824,94.83975,39274,small
Town_00415,India,25.23739,88.5439,30879,small
Town_00416,India,13.84379,87.67656,42793,small
Town_00417,India,10.78744,73.3483,4375768,large
Town_00418,India,33.13728,87.34366,962569,medium
Town_00419,India,11.81414,77.1257,59589,small
Town_00420,India,13.08135,69.0101,2832670,large
Town_00421,India,21.68854,83.40354,75190,small
Town_00422,India,23.82134,95.09958,21852,small
Town_00423,India,26.69898,85.51895,40354,small
Town_00424,India,21.07483,80.1663,775813,medium
Town_00425,India,20.98529,94.42528,75967,small
Town_00426,India,8.13154,88.17095,192420,medium
Town_00427,India,14.00174,71.57975,56103,small
Town_00428,India,27.78215,75.14698,44564,small
Town_00429,India,33.37709,78.79327,38979,small
Town_00430,India,28.06735,70.48654,85286,small
Town_00431,India,20.66594,95.50423,155218,medium
Town_00432,India,27.72328,68.33633,3673636,large
Town_00433,India,18.69609,77.2186,83744,small
Town_00434,India,24.74608,77.33025,77504,small
Town_00435,India,20.91956,72.91087,35296,small
Town_00436,India,17.9898,87.02422,74783,small
Town_00437,India,21.11646,90.95375,55649,small
Town_00438,India,29.57717,84.72109,163583,medium
Town_00439,India,25.1008,87.20294,98630,small
Town_00440,India,17.1311,85.87178,39807,small
Town_00441,India,24.53128,77.10363,52258,small
Town_00442,India,18.35861,88.20225,50717,small
Town_00443,India,30.20574,76.35762,9826310,large
Town_00444,India,15.37063,72.63977,25543,small
Town_00445,India,15.93434,72.14976,94961,small
Town_00446,India,12.04247,96.77342,91807,small
Town_00447,India,26.82757,94.9556,189195,medium
Town_00448,India,22.84948,82.30049,925953,medium
Town_00449,India,28.63006,95.48582,736378,medium
Town_00450,India,9.58292,79.66713,53388,small
Town_00451,India,24.12568,68.2764,666820,medium
Town_00452,India,10.41178,91.79396,50522,small
Town_00453,India,18.95013,83.37067,973807,medium
Town_00454,India,22.35111,82.05929,44792,small
Town_00455,India,13.84908,70.71956,57984,small
Town_00456,India,17.97771,84.65071,87792,small
Town_00457,India,31.56614,75.26599,84653,small
Town_00458,India,18.28611,71.13049,30713,small
Town_00459,India,12.29426,85.61777,644689,medium
Town_00460,India,24.69626,70.7755,692942,medium
Town_00461,India,21.37368,84.73193,917040,medium
Town_00462,India,15.69517,70.86468,97741,small
Town_00463,India,30.51785,96.42231,139710,medium
Town_00464,India,17.31819,97.34112,128856,medium
Town_00465,India,9.40243,84.44272,80067,small
Town_00466,India,21.38798,92.94537,98389,small
Town_00467,India,25.59566,95.20356,31790,small
Town_00468,India,15.07283,84.65205,86388,small
Town_00469,India,18.81075,81.22613,346550,medium
Town_00470,India,35.27218,74.54079,9585310,large
Town_00471,India,33.8821,69.74867,23641,small
Town_00472,India,31.02349,69.38775,83363,small
Town_00473,India,9.53361,72.27153,46076,small
Town_00474,India,26.61445,76.81439,33817,small
Town_00475,India,20.94495,78.9648,493198,medium
Town_00476,India,21.23611,72.97303,250102,medium
Town_00477,India,33.14321,94.31901,45572,small
Town_00478,India,29.96836,72.63021,30195,small
Town_00479,India,33.68436,93.56918,38318,small
Town_00480,India,29.40367,96.25964,70473,small
Town_00481,India,31.16186,86.53693,64535,small
Town_00482,India,16.87055,74.89951,483812,medium
Town_00483,India,11.92612,74.5387,16145721,large
Town_00484,India,23.21779,72.26897,54917,small
Town_00485,India,19.50223,75.27933,10950602,large
Town_00486,India,17.19899,72.95004,61689,small
Town_00487,India,20.54508,82.23187,638399,medium
Town_00488,India,9.56346,94.40361,47676,small
Town_00489,India,23.39842,92.64083,891518,medium
Town_00490,India,13.5446,78.74626,51283,small
Town_00491,India,33.43969,70.87816,270072,medium
Town_00492,India,9.58077,89.43095,770888,medium
Town_00493,India,8.44078,91.80718,246951,medium
Town_00494,India,20.18273,91.29217,57538,small
Town_00495,India,13.11007,80.83986,48608,small
Town_00496,India,15.6133,73.33025,88374,small
Town_00497,India,29.18726,88.99274,183117,medium
Town_00498,India,30.7967,94.2351,55899,small
Town_00499,India,12.82124,72.0427,45189,small
Town_00500,India,24.03066,73.96758,14694334,large
Town_00501,India,31.12936,95.02932,65566,small
Town_00502,India,17.21853,92.83628,84620,small
Town_00503,India,10.48407,80.08074,37469,small
Town_00504,India,31.98038,75.85466,972019,medium
Town_00505,India,35.10712,69.08179,95355,small
Town_00506,India,24.35961,68.13686,78427,small
Town_00507,India,34.64021,70.10458,356613,medium
Town_00508,India,30.45473,93.53142,845733,medium
Town_00509,India,31.87251,85.0012,58212,small
Town_00510,India,32.00209,96.14453,87281,small
Town_00511,India,8.70515,91.73281,355367,medium
Town_00512,India,34.60422,74.59912,207662,medium
Town_00513,India,16.5776,84.38313,22549,small
Town_00514,India,10.65296,88.61953,118546,medium
Town_00515,India,31.02663,86.7867,51243,small
Town_00516,India,27.32275,71.0345,43458,small
Town_00517,India,9.24219,71.62995,85635,small
Town_00518,India,28.94156,71.24618,243607,medium
Town_00519,India,22.89394,74.70928,801262,medium
Town_00520,India,23.75314,90.02407,966138,medium
Town_00521,India,8.50899,86.73225,98255,small
Town_00522,India,31.09237,83.50566,154490,medium
Town_00523,India,29.36495,77.98718,451359,medium
Town_00524,India,27.67704,92.86927,62025,small
Town_00525,India,30.41369,93.0051,5920059,large
Town_00526,India,34.34118,95.56282,542641,medium
Town_00527,India,26.23576,68.34086,296603,medium
Town_00528,India,9.90477,80.7747,22729,small
Town_00529,India,14.20066,80.41148,575771,medium
Town_00530,India,25.41332,91.87342,25277,small
Town_00531,India,8.94528,86.92644,811394,medium
Town_00532,India,25.14544,86.53336,24689,small
Town_00533,India,25.08459,75.39214,76844,small
Town_00534,India,14.50794,69.16286,464436,medium
Town_00535,India,25.8068,71.55125,87342,small
Town_00536,India,32.78908,70.49198,39452,small
Town_00537,India,20.09937,83.09316,73286,small
Town_00538,India,23.87699,76.0863,91606,small
Town_00539,India,15.8971,81.39717,49047,small
Town_00540,India,25.88483,73.93516,80408,small
Town_00541,India,32.52476,76.95919,60698,small
Town_00542,India,8.85146,77.84316,672433,medium
Town_00543,India,18.53722,85.27766,12833067,large
Town_00544,India,12.4631,96.08631,441288,medium
Town_00545,India,21.5137,76.40219,58732,small
Town_00546,India,9.56496,68.64268,99419,small
Town_00547,India,31.96001,80.97959,14015334,large
Town_00548,India,30.94408,78.44634,88279,small
Town_00549,India,14.19209,96.29949,40253,small
Town_00550,India,19.46067,87.71316,312328,medium
Town_00551,India,24.94816,93.07478,87864,small
Town_00552,India,10.61392,93.25976,82290,small
Town_00553,India,15.38877,86.6047,36681,small
Town_00554,India,19.35843,71.04902,92082,small
Town_00555,India,24.11045,82.68755,94967,small
Town_00556,India,12.11491,93.07342,751584,medium
Town_00557,India,24.70168,79.19709,80018,small
Town_00558,India,15.92173,78.40225,651678,medium
Town_00559,India,23.27217,79.34278,925311,medium
Town_00560,India,28.50889,97.19696,414596,medium
Town_00561,India,13.06582,76.96897,703385,medium
Town_00562,India,18.36747,74.84215,63264,small
Town_00563,India,16.90634,92.88,62705,small
Town_00564,India,13.61851,80.58019,21401,small
Town_00565,India,8.70332,75.56819,59297,small
Town_00566,India,33.30858,90.81771,77299,small
Town_00567,India,22.22982,83.25934,71054,small
Town_00568,India,20.76683,69.201,79384,small
Town_00569,India,34.06725,87.95608,32971,small
Town_00570,India,19.26178,82.77681,95242,small
Town_00571,India,12.24106,73.55232,72643,small
Town_00572,India,20.10449,86.42582,64994,small
Town_00573,India,27.0184,90.02079,13170759,large
Town_00574,India,16.74714,96.86359,87186,small
Town_00575,India,12.82861,87.34981,460033,medium
Town_00576,India,30.56525,97.21233,75166,small
Town_00577,India,25.35528,83.45968,47236,small
Town_00578,India,21.8844,73.54919,760705,medium
Town_00579,India,23.53617,71.1453,25546,small
Town_00580,India,27.02283,68.31665,1131300,large
Town_00581,India,33.21838,79.7282,1518116,large
Town_00582,India,26.37293,73.80119,92515,small
Town_00583,India,23.59323,93.69858,87415,small
Town_00584,India,35.42052,84.9468,35925,small
Town_00585,India,11.99723,83.2935,23805,small
Town_00586,India,10.75285,73.03081,81278,small
Town_00587,India,24.85762,91.7947,1419136,large
Town_00588,India,26.82553,85.07587,349836,medium
Town_00589,India,17.73073,72.99773,204286,medium
Town_00590,India,31.6315,95.95716,7430800,large
Town_00591,India,20.37056,79.37687,14287326,large
Town_00592,India,24.02321,96.30858,51233,small
Town_00593,India,14.85656,69.29737,42745,small
Town_00594,India,16.65682,94.5166,59803,small
Town_00595,India,19.50535,75.43305,28850,small
Town_00596,India,14.68052,79.49896,49019,small
Town_00597,India,19.37111,79.75864,22939,small
